,name,rate,reviews_num,type,price_level,review,lat,lng,subtype,hotness
108,Auction Rooms,4.5,425,"Cafe, Australian",$$ - $$$,“I'd say their pasta is a must-try dish...”,-37.8025013,144.9494883,Australian,2337.5
109,Baci Restaurant,3.4,555,Italian,$$ - $$$,“The chocolate gelato was pretty amazeba...”,-37.8226445,144.9585245,Italian,2442
110,Cafe Andiamo,3.6,523,"Italian, Cafe",$$ - $$$,“... me of places I been to in Florence and the interior of ones in Venice.”,-37.817052,144.9657782,Italian,2405.8
111,Cucinetta,4.7,390,"Italian, Mediterranean",$$ - $$$,“Menu is always varied and tasty with great ragu dishes.”,-37.8383357,144.990184,Italian,2223
112,1932 Cafe & Restaurant,4.2,435,"Cafe, Australian",$$ - $$$,“Very good coffee and cake”,-37.815345,144.9663045,Australian,2262
113,Hophaus Euro Bar Bistro,4,452,German,$$ - $$$,“Schnitzel”,-37.820243,144.965657,Europe,2260
117,B'Churrasco Brazilian BBQ,4.5,397,Brazilian,$$ - $$$,"“... rump steak, lamb & pork in various ...”",-37.8091251,144.9616402,,2183.5
115,Lupino Bistro and Bar,4.5,400,Italian,$$ - $$$,"“Ordered fried cauliflower, melanzane, carpaccio, ricotta gnocchi and Arancini.”",-37.8127556,144.9723371,Italian,2200
116,The Kettle Black,4.1,439,"Cafe, Australian",$$ - $$$,“... cooking proper hot cakes/pancakes.”,-37.8340784,144.9713383,Australian,2238.9
119,Locanda Restaurant & Public Bar,4.7,371,International,$$ - $$$,“Salmon was a twist with fresh fruit.”,35.6753214,139.7834549,,2114.7
133,The Bank on Collins,4.2,383,"Bar, Australian",$$ - $$$,"“... comes with oyster, pork belly, chic...”",-37.816768,144.961161,Australian,1991.6
154,Fancy Hank's,4.2,343,"Barbecue, American",$$ - $$$,“... Cheese good Cornbread amazing Sausa...”,-37.81217,144.971057,American,1783.6
120,Geppetto Trattoria,4.6,379,Italian,$$ - $$$,“Excellent steak and mash”,-37.8164817,144.9873908,Italian,2122.4
121,Soho Restaurant and Bar,4,434,"Italian, Bar",$$ - $$$,“Good value for money”,-37.8207624,144.9632837,Italian,2170
122,Da Guido 365,4.7,367,"Italian, Pizza",$$ - $$$,“After visiting da guido la pasta in Carlton we decided to go in the sister da...”,-37.8156909,144.9627553,Italian,2091.9
123,Bottega,4.3,398,"Italian, European",$$$$,“... or the tuna crudo so I had both.”,-37.8117287,144.9710292,Italian,2109.4
124,Squires Loft South Yarra,4.5,378,"Steakhouse, Australian",$$ - $$$,“Efficient and friendly steak restaurant”,-37.8392546,144.9925991,Australian,2079
